sentence,relation
Effect on an aqueous extract of selenium-enriched garlic on in vitro markers and in vivo efficacy in cancer prevention. ,Treatment_of_disease
Previous work has shown that the efficacy of cancer prevention by selenium-enriched garlic (Se-garlic) is primarily dependent on the action of selenium. ,Treatment_of_disease
Previous work has shown that the efficacy of cancer prevention by selenium-enriched garlic (Se- garlic ) is primarily dependent on the action of selenium. ,Treatment_of_disease
The chemopreventive efficacy of the two garlic extracts was also investigated in the rat methylnitrosourea mammary tumor model. ,Treatment_of_disease
Significant cancer protection was observed with treatment by the Se- garlic extract (at 3 p.p.m. ,Treatment_of_disease
Data from a large hospital-based case-control study are used to examine the association of smoking-related risk factors (amount smoked filter status mentholation and differences in smoking habits between blacks and whites) and selected factors other than smoking (environmental tobacco smoke previous primary cancer and radiotherapy reproductive and endocrine factors and body mass index) with lung cancer. ,Negative
Data from a large hospital-based case-control study are used to examine the association of smoking-related risk factors (amount smoked filter status mentholation and differences in smoking habits between blacks and whites) and selected factors other than smoking (environmental tobacco smoke previous primary cancer and radiotherapy reproductive and endocrine factors and body mass index) with lung cancer . ,Negative
In blacks and whites of both sexes odds ratios for lung cancer increased with increasing cumulative tobacco tar intake and decreased with years since quitting smoking. ,Cause_of_disease
Exposure to environmental tobacco smoke generally showed little relation to lung cancer risk. ,Negative
"In conclusion variation in lung cancer rates between populations may be due to: (1) differences in effective exposure to tobacco smoke carcinogens, (2) differences in factors which modify the effect of tobacco smoke including differences in host susceptibility and metabolism of carcinogens or (3) differences in exposure to other independent risk factors for lung cancer. ",Negative
"In conclusion variation in lung cancer rates between populations may be due to: (1) differences in effective exposure to tobacco smoke carcinogens, (2) differences in factors which modify the effect of tobacco smoke including differences in host susceptibility and metabolism of carcinogens or (3) differences in exposure to other independent risk factors for lung cancer . ",Negative
"In conclusion variation in lung cancer rates between populations may be due to: (1) differences in effective exposure to tobacco smoke carcinogens, (2) differences in factors which modify the effect of tobacco smoke including differences in host susceptibility and metabolism of carcinogens or (3) differences in exposure to other independent risk factors for lung cancer. ",Negative
"In conclusion variation in lung cancer rates between populations may be due to: (1) differences in effective exposure to tobacco smoke carcinogens, (2) differences in factors which modify the effect of tobacco smoke including differences in host susceptibility and metabolism of carcinogens or (3) differences in exposure to other independent risk factors for lung cancer . ",Negative
The overall findings of this study suggest that EPPL is a valuable indicator of lung cancer risk and that exposure to environmental tobacco smoke is associated with higher EPPL levels and therefore with higher lung cancer risk. ,Cause_of_disease
The overall findings of this study suggest that EPPL is a valuable indicator of lung cancer risk and that exposure to environmental tobacco smoke is associated with higher EPPL levels and therefore with higher lung cancer risk. ,Negative
In a tribal village in Kerala India local volunteers were trained to work in a programme for the primary prevention of tobacco -related cancers and the secondary prevention of common cancers. ,Cause_of_disease
In a tribal village in Kerala India local volunteers were trained to work in a programme for the primary prevention of tobacco -related cancers and the secondary prevention of common cancers . ,Negative
They gathered data on the use of tobacco and alcohol in a population of some 19000 people and identified one or more warning signals of cancer in 430 persons who were subsequently examined by physicians. ,Negative
[ Sabal serrulata extract in the management of symptoms of prostatic hypertrophy ]. ,Treatment_of_disease
The effectiveness of Sabal serrulata (dwarf palm) extract was evaluated in the treatment of 38 patients with symptomatic prostatic hyperplasia . ,Negative
The effectiveness of Sabal serrulata ( dwarf palm ) extract was evaluated in the treatment of 38 patients with symptomatic prostatic hyperplasia . ,Negative
On the basis of their favorable experience the authors recommend the administration of Sabal serrulata extract in the treatment of patients with mild or moderate symptoms of prostatic hyperplasia . ,Treatment_of_disease
